"","Topic.1","Topic.2","Topic.3"
"1","control","biomass","annual"
"2","grass","crop","halepens"
"3","growth","energi","hybrid"
"4","maiz","forag","perenni"
"5","yield","high","plant"
"6",NA,"manag","product"
"7",NA,"product","resist"
"8",NA,"soil",NA
"9",NA,"water",NA
