"","Topic.1","Topic.2","Topic.3"
"1","control","agricultur","analysi"
"2","effect","biomass","annual"
"3","fertil","crop","cultiv"
"4","growth","develop","divers"
"5","high","farm","express"
"6","higher","import","gene"
"7","plant","land","genet"
"8","resist","low","genom"
"9","ryegrass","manag","perenni"
"10","season","model","pollen"
"11","weed","potenti","popul"
"12","yield","product","rhizom"
"13",NA,"soil","rufipogon"
"14",NA,"water","sativa"
"15",NA,NA,"studi"
"16",NA,NA,"wild"
