"","Topic.1","Topic.2","Topic.3"
"1","annual","barley","agropyron"
"2","cereal","content","cross"
"3","cultiv","crop","drought"
"4","ear","effect","fertil"
"5","habit","growth","fodder"
"6","montanum","higher","high"
"7","number","matter","hybrid"
"8","perenni","protein","product"
"9","type","seed","qualiti"
"10","wild","soil","resist"
"11",NA,"studi","rust"
"12",NA,"yield","select"
"13",NA,NA,"varieti"
"14",NA,NA,"winter"
"15",NA,NA,"work"
"16",NA,NA,"yield"
