"","Topic.1","Topic.2","Topic.3"
"1","crop","damag","durat"
"2","dri","icp","field"
"3","growth","icpl","higher"
"4","maiz","matur","india"
"5","product","number","long"
"6","soil","plant","long durat"
"7","system","pod","maximum"
"8","water","seed","perenni"
"9",NA,"yield","resist"
"10",NA,NA,"yield"
